Año,Trimestre,Provincia,Accesos por cada 100 hogares
2022,3,Buenos Aires,7811
2022,3,Capital Federal,12228
2022,3,Catamarca,6533
2022,3,Chaco,4386
2022,3,Chubut,8438
2022,3,Córdoba,8831
2022,3,Corrientes,4821
2022,3,Entre Ríos,6367
2022,3,Formosa,4376
2022,3,Jujuy,5891
2022,3,La Pampa,9659
2022,3,La Rioja,8066
2022,3,Mendoza,5103
2022,3,Misiones,5182
2022,3,Neuquén,8037
2022,3,Río Negro,6798
2022,3,Salta,5776
2022,3,San Juan,508
2022,3,San Luis,8174
2022,3,Santa Cruz,4319
2022,3,Santa Fe,7855
2022,3,Santiago Del Estero,4798
2022,3,Tierra Del Fuego,9951
2022,3,Tucumán,6114
2022,2,Buenos Aires,7758
2022,2,Capital Federal,12131
2022,2,Catamarca,624
2022,2,Chaco,4379
2022,2,Chubut,8319
2022,2,Córdoba,8748
2022,2,Corrientes,4835
2022,2,Entre Ríos,639
2022,2,Formosa,4342
2022,2,Jujuy,5732
2022,2,La Pampa,9298
2022,2,La Rioja,8014
2022,2,Mendoza,4939
2022,2,Misiones,51
2022,2,Neuquén,8002
2022,2,Río Negro,6785
2022,2,Salta,5754
2022,2,San Juan,4946
2022,2,San Luis,8176
2022,2,Santa Cruz,4315
2022,2,Santa Fe,779
2022,2,Santiago Del Estero,477
2022,2,Tierra Del Fuego,9986
2022,2,Tucumán,5931
2022,1,Buenos Aires,7608
2022,1,Capital Federal,1118
2022,1,Catamarca,5821
2022,1,Chaco,4406
2022,1,Chubut,8805
2022,1,Córdoba,8576
2022,1,Corrientes,4764
2022,1,Entre Ríos,637
2022,1,Formosa,3496
2022,1,Jujuy,5806
2022,1,La Pampa,9166
2022,1,La Rioja,7877
2022,1,Mendoza,4874
2022,1,Misiones,4904
2022,1,Neuquén,7417
2022,1,Río Negro,6704
2022,1,Salta,5611
2022,1,San Juan,4355
2022,1,San Luis,8072
2022,1,Santa Cruz,4334
2022,1,Santa Fe,773
2022,1,Santiago Del Estero,4717
2022,1,Tierra Del Fuego,9829
2022,1,Tucumán,5739
2021,4,Buenos Aires,7566
2021,4,Capital Federal,11127
2021,4,Catamarca,5525
2021,4,Chaco,4405
2021,4,Chubut,8257
2021,4,Córdoba,8451
2021,4,Corrientes,4551
2021,4,Entre Ríos,6316
2021,4,Formosa,3445
2021,4,Jujuy,5692
2021,4,La Pampa,8957
2021,4,La Rioja,7792
2021,4,Mendoza,4751
2021,4,Misiones,4906
2021,4,Neuquén,733
2021,4,Río Negro,6569
2021,4,Salta,5681
2021,4,San Juan,3959
2021,4,San Luis,803
2021,4,Santa Cruz,4305
2021,4,Santa Fe,7709
2021,4,Santiago Del Estero,4705
2021,4,Tierra Del Fuego,984
2021,4,Tucumán,5593
2021,3,Buenos Aires,7168
2021,3,Capital Federal,11127
2021,3,Catamarca,5271
2021,3,Chaco,4296
2021,3,Chubut,8071
2021,3,Córdoba,8128
2021,3,Corrientes,449
2021,3,Entre Ríos,6218
2021,3,Formosa,3396
2021,3,Jujuy,5569
2021,3,La Pampa,8428
2021,3,La Rioja,7726
2021,3,Mendoza,4555
2021,3,Misiones,4557
2021,3,Neuquén,6971
2021,3,Río Negro,6197
2021,3,Salta,5596
2021,3,San Juan,3946
2021,3,San Luis,7987
2021,3,Santa Cruz,4375
2021,3,Santa Fe,7502
2021,3,Santiago Del Estero,47
2021,3,Tierra Del Fuego,9495
2021,3,Tucumán,5464
2021,2,Buenos Aires,70
2021,2,Capital Federal,11014
2021,2,Catamarca,5234
2021,2,Chaco,4333
2021,2,Chubut,7229
2021,2,Córdoba,8012
2021,2,Corrientes,4354
2021,2,Entre Ríos,6166
2021,2,Formosa,3323
2021,2,Jujuy,5618
2021,2,La Pampa,8208
2021,2,La Rioja,7698
2021,2,Mendoza,4097
2021,2,Misiones,4501
2021,2,Neuquén,6914
2021,2,Río Negro,6194
