id,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Dial up,Otros,Total
20223Buenos Aires,2022.0,3.0,Buenos Aires,339648.0,2748325.0,1436433.0,126846.0,6199.0,64217.0,4721668.0
20223Capital Federal,2022.0,3.0,Capital Federal,140791.0,1240125.0,129218.0,5758.0,2145.0,29642.0,1547679.0
20223Catamarca,2022.0,3.0,Catamarca,10010.0,10495.0,46224.0,1329.0,1.0,2234.0,70293.0
20223Chaco,2022.0,3.0,Chaco,27164.0,61800.0,44645.0,8178.0,5.0,2354.0,144146.0
20223Chubut,2022.0,3.0,Chubut,45377.0,72212.0,9574.0,29784.0,904.0,7927.0,165778.0
20223Córdoba,2022.0,3.0,Córdoba,163770.0,465461.0,338570.0,6107.0,68.0,9729.0,1038668.0
20223Corrientes,2022.0,3.0,Corrientes,36508.0,77140.0,18619.0,7256.0,4.0,5319.0,144846.0
20223Entre Ríos,2022.0,3.0,Entre Ríos,60345.0,132952.0,36971.0,26098.0,22.0,12571.0,268959.0
20223Formosa,2022.0,3.0,Formosa,14470.0,25880.0,11041.0,16935.0,1.0,2119.0,68538.0
20223Jujuy,2022.0,3.0,Jujuy,19257.0,52978.0,40172.0,4033.0,,,118823.0
20223La Pampa,2022.0,3.0,La Pampa,7796.0,60078.0,23551.0,20216.0,171.0,4280.0,116092.0
20223La Rioja,2022.0,3.0,La Rioja,6842.0,53899.0,19697.0,6395.0,4.0,306.0,86864.0
20223Mendoza,2022.0,3.0,Mendoza,37659.0,78858.0,142615.0,27625.0,777.0,1989.0,289523.0
20223Misiones,2022.0,3.0,Misiones,35513.0,88902.0,39046.0,11074.0,,,182157.0
20223Neuquén,2022.0,3.0,Neuquén,29352.0,75815.0,29396.0,27482.0,468.0,648.0,163161.0
20223Río Negro,2022.0,3.0,Río Negro,35552.0,48260.0,41017.0,1676.0,548.0,18421.0,160558.0
20223Salta,2022.0,3.0,Salta,40006.0,96984.0,50254.0,10082.0,5.0,7210.0,204541.0
20223San Juan,2022.0,3.0,San Juan,38570.0,22723.0,12328.0,2186.0,281.0,7637.0,103399.0
20223San Luis,2022.0,3.0,San Luis,6860.0,29363.0,248.0,70614.0,182.0,14803.0,122070.0
20223Santa Cruz,2022.0,3.0,Santa Cruz,10170.0,24047.0,10815.0,3896.0,198.0,5622.0,49510.0
20223Santa Fe,2022.0,3.0,Santa Fe,183740.0,426255.0,215189.0,43079.0,110.0,19437.0,887810.0
20223Santiago Del Estero,2022.0,3.0,Santiago Del Estero,15385.0,80937.0,13170.0,6618.0,2.0,2920.0,119032.0
20223Tierra Del Fuego,2022.0,3.0,Tierra Del Fuego,12754.0,39963.0,403.0,1250.0,312.0,6198.0,53896.0
20223Tucumán,2022.0,3.0,Tucumán,77738.0,18518.0,162345.0,3997.0,30.0,5160.0,263117.0
20222Buenos Aires,2022.0,2.0,Buenos Aires,350652.0,2719613.0,1399043.0,126847.0,6199.0,64829.0,4667183.0
20222Capital Federal,2022.0,2.0,Capital Federal,145491.0,1232226.0,121506.0,5757.0,2145.0,29646.0,1536771.0
20222Catamarca,2022.0,2.0,Catamarca,11928.0,9430.0,42087.0,1329.0,1.0,2233.0,67008.0
20222Chaco,2022.0,2.0,Chaco,29552.0,61284.0,42194.0,8178.0,5.0,2351.0,143564.0
20222Chubut,2022.0,2.0,Chubut,45377.0,69242.0,9574.0,29784.0,904.0,7924.0,162805.0
20222Córdoba,2022.0,2.0,Córdoba,179181.0,467595.0,308895.0,61107.0,68.0,9589.0,1026435.0
20222Corrientes,2022.0,2.0,Corrientes,38468.0,75769.0,18181.0,7256.0,4.0,5319.0,144997.0
20222Entre Ríos,2022.0,2.0,Entre Ríos,63794.0,131029.0,35839.0,26098.0,22.0,12570.0,269352.0
20222Formosa,2022.0,2.0,Formosa,15397.0,25487.0,9875.0,1691.0,,,67881.0
20222Jujuy,2022.0,2.0,Jujuy,20303.0,54495.0,34184.0,3955.0,,,115314.0
20222La Pampa,2022.0,2.0,La Pampa,7796.0,59273.0,22994.0,202.0,171.0,1093.0,111527.0
20222La Rioja,2022.0,2.0,La Rioja,7759.0,52656.0,19189.0,6395.0,4.0,306.0,86030.0
20222Mendoza,2022.0,2.0,Mendoza,37663.0,77504.0,135504.0,26964.0,777.0,1150.0,279562.0
20222Misiones,2022.0,2.0,Misiones,37208.0,89260.0,33649.0,11074.0,,,178813.0
20222Neuquén,2022.0,2.0,Neuquén,29749.0,74905.0,28824.0,27371.0,468.0,651.0,161968.0
20222Río Negro,2022.0,2.0,Río Negro,36050.0,47040.0,40946.0,1676.0,548.0,18420.0,159764.0
20222Salta,2022.0,2.0,Salta,42665.0,96178.0,47076.0,10068.0,5.0,714.0,203177.0
20222San Juan,2022.0,2.0,San Juan,38570.0,19734.0,12328.0,21859.0,281.0,7635.0,100407.0
20222San Luis,2022.0,2.0,San Luis,6860.0,29034.0,248.0,70614.0,182.0,14803.0,121741.0
