Provincia,Partido,Localidad,ADSL,DIALUP,FIBRAOPTICA,4G,TELEFONIAFIJA,SATELITAL
,Bahía Blanca,Villa Bordeau,,No,No,,No,No
BUENOS AIRES,,Villa Espora,No,,No,No,,
BUENOS AIRES,,,Si,,,Si,,
BUENOS AIRES,Balcarce,,No,No,,No,Si,No
BUENOS AIRES,,Napaleofú,No,,Si,Si,,No
BUENOS AIRES,Balcarce,Ramos Otero,,No,No,,No,
,Balcarce,San Agustín,,No,No,,Si,
BUENOS AIRES,,,No,,,Si,,No
BUENOS AIRES,Baradero,,Si,No,,Si,Si,Si
BUENOS AIRES,,Irineo Portela,No,,Si,No,,Si
BUENOS AIRES,Baradero,,No,No,,Si,,No
,Baradero,Villa Alsina (Est. Alsina),Si,No,No,Si,Si,
BUENOS AIRES,Benito Juárez,Barker,,Si,Si,,Si,
CHUBUT,Futaleufú,Lago Rosario,,No,No,,Si,Si
,General Las Heras,General Las Heras (Est. Las Heras),,Si,Si,,Si,No
BUENOS AIRES,General Las Heras,,No,No,,No,No,
BUENOS AIRES,,,No,,,No,,Si
,General Las Heras,Plomer,,No,No,No,Si,No
BUENOS AIRES,General Las Heras,Villars,,Si,Si,,Si,No
,General Lavalle,Chacras de San Clemente,,No,No,,No,No
,General Lavalle,General Lavalle,No,No,Si,Si,Si,
BUENOS AIRES,,,No,,,Si,,No
BUENOS AIRES,,Barrio Río Salado,No,,No,No,,No
BUENOS AIRES,,Loma Verde,No,,No,Si,,
BUENOS AIRES,General Paz,,Si,Si,,Si,Si,
,General Paz,Villanueva (Ap. Río Salado),,No,No,,Si,No
BUENOS AIRES,General Pinto,Colonia San Ricardo (Est. Iriarte),,No,No,,Si,No
MISIONES,San Ignacio,,No,No,,No,No,No
BUENOS AIRES,,,No,,,Si,,
,Magdalena,Los Naranjos,No,No,Si,No,No,No
,Magdalena,Magdalena,,Si,No,,Si,No
BUENOS AIRES,,Roberto J. Payró,No,,No,No,,No
BUENOS AIRES,,,No,,,No,,
BUENOS AIRES,Maipú,,Si,No,,Si,Si,No
BUENOS AIRES,,,Si,,,Si,,No
BUENOS AIRES,Maipú,Santo Domingo,,No,No,,Si,
,Malvinas Argentinas,Area De Promocion El Triángulo,Si,No,Si,Si,No,No
BUENOS AIRES,,,Si,,,Si,,No
BUENOS AIRES,Malvinas Argentinas,,Si,No,,Si,Si,No
BUENOS AIRES,,San Fernando,Si,,Si,Si,,
BUENOS AIRES,,,Si,,,Si,,Si
,San Fernando,Virreyes,Si,No,Si,Si,Si,No
,San Isidro,Acassuso,,Si,Si,,Si,Si
BUENOS AIRES,San Isidro,Beccar,,No,Si,,Si,No
,San Isidro,Boulogne Sur Mer,Si,No,Si,Si,Si,
CABA,COMUNA 04,,Si,Si,,Si,Si,Si
CHACO,,,No,,,Si,,No
,San Fernando,Puerto Vilelas,,No,Si,,No,
CHACO,San Fernando,Resistencia,,Si,Si,,Si,
CHACO,,,No,,,Si,,Si
BUENOS AIRES,,Desvío Aguirre,No,,Si,Si,,No
,Tandil,Gardey,,No,Si,,Si,
,Tandil,María Ignacia (Est. Vela),Si,No,No,Si,Si,
,Tandil,Tandil,,Si,Si,,Si,Si
BUENOS AIRES,Tapalqué,Crotto,,No,No,,No,No
BUENOS AIRES,,Tapalqué,No,,No,Si,,Si
BUENOS AIRES,Tapalqué,,No,No,,No,No,
BUENOS AIRES,Tigre,Benavídez,,No,Si,,Si,Si
,Tigre,Dique Luján,,No,Si,,Si,No
,COMUNA 10,FLORESTA,Si,Si,Si,Si,Si,
,Futaleufú,Los Cipreses,,No,No,,Si,Si
CHUBUT,,Trevelín,Si,,No,Si,,Si
CHUBUT,Futaleufú,,No,No,,No,Si,Si
CHUBUT,Gaiman,,No,No,,Si,No,
CHUBUT,,,No,,,No,,
CHUBUT,Gaiman,Dolavon,,Si,Si,,Si,Si
,San Isidro,Martínez,,Si,Si,,Si,Si
BUENOS AIRES,,San Isidro,Si,,Si,Si,,
BUENOS AIRES,San Isidro,,Si,No,,Si,Si,No
BUENOS AIRES,San Miguel,Bella Vista,,Si,Si,,Si,Si
,San Miguel,Campo De Mayo,No,No,No,Si,No,Si
BUENOS AIRES,,,Si,Si,,Si,Si,
CORDOBA,,Canteras Quilpo,No,,No,No,,No
CORDOBA,,,No,,,No,,No
BUENOS AIRES,Berisso,,Si,Si,,Si,Si,No
,Berisso,Los Talas,,No,No,,No,No
BUENOS AIRES,Berisso,Villa Arguello,,No,Si,,No,
BUENOS AIRES,Berisso,,No,No,,Si,No,No
BUENOS AIRES,,Villa Independencia,No,,,No,,No
BUENOS AIRES,Berisso,,No,No,,Si,No,No
BUENOS AIRES,,,No,,,No,,
BUENOS AIRES,Berisso,Villa Progreso,,No,Si,,No,No
,Berisso,Villa San Carlos,,No,No,,No,No
,Berisso,Villa Zula,No,No,No,No,No,
BUENOS AIRES,Bolívar,Hale,,No,No,,Si,No
BUENOS AIRES,,Juan F. Ibarra,No,,No,No,,No
BUENOS AIRES,Bolívar,,No,,,No,No,No
,Bolívar,Paula,,No,No,,No,
,Bolívar,Pirovano,No,No,No,No,Si,
BUENOS AIRES,,,Si,,,Si,,No
