Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total
2022,3,Buenos Aires,29985,27709,290315,297915,267044,12419,3618689,65821,4721668
2022,3,Capital Federal,5170,5742,34371,67829,51946,28692,1253105,105477,1547679
2022,3,Catamarca,710,3840,3107,5389,5099,3737,50298,2208,70293
2022,3,Chaco,4610,9870,16782,18938,8049,15828,79390,3711,144146
2022,3,Chubut,1090,1444,45707,3094,34682,15309,17563,20024,165778
2022,3,Córdoba,990,11312,153324,111615,70989,27112,650344,13873,1038668
2022,3,Corrientes,670,3865,23427,23948,7776,21706,56950,7107,144846
2022,3,Entre Ríos,1070,5549,47210,46855,18263,32021,102195,16759,268959
2022,3,Formosa,970,3070,23538,19545,6194,5640,17704,5890,68538
2022,3,Jujuy,580,1879,19135,15254,36083,5190,45895,0,118823
2022,3,La Pampa,680,1887,61540,9653,11592,5609,22731,3012,116092
2022,3,La Rioja,180,6890,2842,3375,24219,5331,50390,0,86864
2022,3,Mendoza,1030,2953,44232,21977,48201,17243,150043,4771,289523
2022,3,Misiones,510,3749,36628,20758,12676,19615,80330,835,182157
2022,3,Neuquén,1340,9910,38485,1408,92,67,78713,14858,163161
2022,3,Río Negro,1110,1221,32936,1786,27934,13629,42596,24271,160558
2022,3,Salta,1140,149,32923,71199,5662,1001,85661,6491,204541
2022,3,San Juan,240,2027,30324,11247,22157,678,19221,11619,103399
2022,3,San Luis,600,3070,6563,20813,12061,67438,13,14815,122070
2022,3,Santa Cruz,520,6841,12342,11313,11378,2333,4604,6470,49510
2022,3,Santa Fe,4680,11132,132709,198588,70897,57455,396352,20209,887810
2022,3,Santiago Del Estero,1780,1384,28357,58982,16087,9100,12342,7920,119032
2022,3,Tierra Del Fuego,220,8310,12002,14815,20102,1752,1021,3351,53896
2022,3,Tucumán,390,2047,32571,39018,25214,4348,159600,2800,263117
2022,2,Buenos Aires,30639,28323,295238,307554,273954,129869,3535757,65849,4667183
2022,2,Capital Federal,5170,598,36036,72434,55372,31571,1229254,105607,1536771
2022,2,Catamarca,710,4130,3678,6155,7165,3393,43926,2207,67008
2022,2,Chaco,4610,1047,17603,20109,8391,15974,76271,3708,143564
2022,2,Chubut,1090,1444,45804,31217,3429,14526,15394,20021,162805
2022,2,Córdoba,990,11971,160486,120485,71923,28645,619400,13426,1026435
2022,2,Corrientes,670,3937,24253,24842,8001,21719,55071,7107,144997
2022,2,Entre Ríos,1070,5656,48637,48557,18512,32355,98769,16759,269352
2022,2,Formosa,970,4070,23834,19706,633,5910,16326,5900,67881
2022,2,Jujuy,580,1829,19458,1579,37786,5490,37391,2453,115314
2022,2,La Pampa,680,1887,62546,9842,118,5247,17125,3012,111527
2022,2,La Rioja,180,7280,3179,389,23814,5481,48920,0,86030
2022,2,Mendoza,1030,2954,44961,22557,64138,19543,121366,394,279562
2022,2,Misiones,510,3808,37254,21712,12774,19757,75107,835,178813
